SampleID	Chr	Start	End	Gene
17296sorted	12	14653866	14653868	rs2900333
17296sorted	12	88953560	88953562	KITLG
17296sorted	12	88953958	88953960	KITLG
17296sorted	12	112521447	112521449	NAA25
17296sorted	12	125320849	125320851	SCARB1
17296sorted	13	24293858	24293860	rs753955
17296sorted	13	48878048	48878186	RB1
17296sorted	15	32994755	32994757	rs4779584
17296sorted	15	70018989	70018991	rs7176508
17296sorted	15	78908031	78908033	CHRNA3
17296sorted	16	2097454	2098078	NTHL1
17296sorted	16	68771318	68771367	CDH1
17296sorted	16	89882944	89883024	FANCA
17296sorted	17	29422327	29422388	NF1
17296sorted	17	36098039	36098041	HNF1B
17296sorted	17	74473261	74473381	RHBDF2
17296sorted	19	1220579	1220717	STK11
17296sorted	19	33792243	33793321	CEBPA
17296sorted	19	38735612	38735614	rs8102476
17296sorted	19	45867243	45867378	ERCC2
17296sorted	19	45873793	45873799	ERCC2
17296sorted	20	6404280	6404282	rs961253
17296sorted	21	36357860	36357862	RUNX1
17296sorted	22	48929568	48929570	FAM19A5
17297sorted	1	150860470	150860472	rs7412746
17297sorted	2	223845941	223845943	rs7584993
17297sorted	2	231091222	231091224	SP140
17297sorted	3	10085512	10085549	FANCD2
17297sorted	3	10091057	10091190	FANCD2
17297sorted	3	10106412	10106560	FANCD2
17297sorted	3	17077267	17077269	PLCL2
17297sorted	3	87173323	87173325	rs17181170
17297sorted	3	170130101	170130103	rs10936632
17297sorted	5	148904091	148904093	CSNK1A1
17297sorted	7	6013029	6013174	PMS2
17297sorted	7	6018226	6018328	PMS2
17297sorted	7	86983714	86983716	CROT
17297sorted	7	97816326	97816328	LMTK2
17297sorted	8	18272880	18272882	rs1495741
17297sorted	8	32432368	32432370	NRG1
17297sorted	8	128355617	128355619	rs13281615
17297sorted	8	145742985	145743020	RECQL4
17297sorted	8	145743084	145743169	RECQL4
17297sorted	9	16915020	16915022	rs3814113
17297sorted	9	21816527	21816529	MTAP
17297sorted	9	100556108	100556110	rs965513
17297sorted	10	43572706	43572780	RET
17297sorted	10	51549495	51549497	TIMM23B
17297sorted	10	63723576	63723578	ARID5B
17297sorted	10	63752158	63752160	ARID5B
17297sorted	10	104263909	104264092	SUFU
17297sorted	11	56175670	56175672	rs1945213
17297sorted	11	68994496	68994498	rs7931342
17297sorted	11	69328763	69328765	rs614367
17297sorted	11	111171708	111171710	C11orf92
17297sorted	12	14653866	14653868	rs2900333
17297sorted	12	26453282	26453284	rs718314
17297sorted	12	88953560	88953562	KITLG
17297sorted	13	48878048	48878186	RB1
17297sorted	13	73908845	73908847	rs9573163
17297sorted	15	47873548	47873550	SEMA6D
17297sorted	15	78908031	78908033	CHRNA3
17297sorted	16	52586340	52586342	rs3803662
17297sorted	16	68771318	68771367	CDH1
17297sorted	16	89882944	89883024	FANCA
17297sorted	17	36098039	36098041	HNF1B
17297sorted	19	38735612	38735614	rs8102476
17297sorted	21	36357860	36357862	RUNX1
17297sorted	21	42746080	42746082	TMPRSS3
17298sorted	1	17722362	17722364	PADI6
17298sorted	1	228997834	228997836	rs801114
17298sorted	2	215672545	215672547	BARD1
17298sorted	3	10085512	10085549	FANCD2
17298sorted	3	10091057	10091190	FANCD2
17298sorted	3	151899703	151899705	rs161792
17298sorted	3	170130101	170130103	rs10936632
17298sorted	4	84374479	84374481	HELQ
17298sorted	4	95562876	95562878	PDLIM5
17298sorted	4	106061533	106061535	rs7679673
17298sorted	5	40791883	40791885	PRKAA1
17298sorted	5	58407770	58407772	PDE4D
17298sorted	6	22125963	22125965	rs4712653
17298sorted	6	22140003	22140005	rs6939340
17298sorted	6	151948365	151948367	rs2046210
17298sorted	7	6013029	6013174	PMS2
17298sorted	7	6017218	6017389	PMS2
17298sorted	7	6018226	6018328	PMS2
17298sorted	7	97816326	97816328	LMTK2
17298sorted	8	128093296	128093298	rs1016343
17298sorted	8	128355617	128355619	rs13281615
17298sorted	8	128407442	128407444	rs10505477
17298sorted	8	145742985	145743020	RECQL4
17298sorted	8	145743084	145743169	RECQL4
17298sorted	9	16915020	16915022	rs3814113
17298sorted	9	21816527	21816529	MTAP
17298sorted	9	22043925	22043927	CDKN2B-AS1
17298sorted	10	51549495	51549497	TIMM23B
17298sorted	11	2233573	2233575	rs7127900
17298sorted	11	56175670	56175672	rs1945213
17298sorted	11	68995957	68995959	rs7130881
17298sorted	11	111171708	111171710	C11orf92
17298sorted	12	14653866	14653868	rs2900333
17298sorted	12	49676009	49676011	rs10875943
17298sorted	13	24127209	24127211	rs1572072
17298sorted	13	24293858	24293860	rs753955
17298sorted	15	40339493	40339495	rs4924410
17298sorted	15	47873548	47873550	SEMA6D
17298sorted	15	70018989	70018991	rs7176508
17298sorted	15	78908031	78908033	CHRNA3
17298sorted	16	52635163	52635165	rs3112612
17298sorted	17	74473261	74473381	RHBDF2
17298sorted	21	42746080	42746082	TMPRSS3
17299sorted	1	228997834	228997836	rs801114
17299sorted	2	215672545	215672547	BARD1
17299sorted	2	231091222	231091224	SP140
17299sorted	3	10091057	10091190	FANCD2
17299sorted	3	10106412	10106560	FANCD2
17299sorted	3	151899703	151899705	rs161792
17299sorted	3	170130101	170130103	rs10936632
17299sorted	4	95562876	95562878	PDLIM5
17299sorted	4	106061533	106061535	rs7679673
17299sorted	5	1895828	1895830	rs12653946
17299sorted	5	58407770	58407772	PDE4D
17299sorted	6	411063	411065	IRF4
17299sorted	6	22125963	22125965	rs4712653
17299sorted	6	22140003	22140005	rs6939340
17299sorted	6	151948365	151948367	rs2046210
17299sorted	7	50466303	50466305	IKZF1
17299sorted	7	86983714	86983716	CROT
17299sorted	7	97816326	97816328	LMTK2
17299sorted	8	32432368	32432370	NRG1
17299sorted	8	128355617	128355619	rs13281615
17299sorted	8	145742985	145743020	RECQL4
17299sorted	8	145743084	145743169	RECQL4
17299sorted	9	16915020	16915022	rs3814113
17299sorted	9	22033365	22033367	CDKN2B-AS1
17299sorted	9	22043925	22043927	CDKN2B-AS1
17299sorted	10	51549495	51549497	TIMM23B
17299sorted	10	63723576	63723578	ARID5B
17299sorted	10	63752158	63752160	ARID5B
17299sorted	11	2233573	2233575	rs7127900
17299sorted	11	68994496	68994498	rs7931342
17299sorted	11	68994666	68994668	rs10896449
17299sorted	12	14653866	14653868	rs2900333
17299sorted	12	49676009	49676011	rs10875943
17299sorted	12	112521447	112521449	NAA25
17299sorted	12	125320849	125320851	SCARB1
17299sorted	13	48878048	48878186	RB1
17299sorted	13	73908845	73908847	rs9573163
17299sorted	15	47873548	47873550	SEMA6D
17299sorted	15	70018989	70018991	rs7176508
17299sorted	15	78908031	78908033	CHRNA3
17299sorted	16	52586340	52586342	rs3803662
17299sorted	16	52635163	52635165	rs3112612
17299sorted	17	74473261	74473381	RHBDF2
17299sorted	19	38735612	38735614	rs8102476
17299sorted	20	6404280	6404282	rs961253
17299sorted	21	36357860	36357862	RUNX1
17299sorted	21	42746080	42746082	TMPRSS3
17299sorted	22	48929568	48929570	FAM19A5
17300sorted	1	150860470	150860472	rs7412746
17300sorted	1	228997834	228997836	rs801114
17300sorted	2	46537603	46537605	EPAS1
17300sorted	2	47596644	47596721	EPCAM
17300sorted	2	215672545	215672547	BARD1
17300sorted	2	223845941	223845943	rs7584993
17300sorted	2	231091222	231091224	SP140
17300sorted	3	10085512	10085549	FANCD2
17300sorted	3	10106412	10106560	FANCD2
17300sorted	3	17077267	17077269	PLCL2
17300sorted	3	27416012	27416014	SLC4A7
17300sorted	3	37627111	37627113	ITGA9
17300sorted	3	87173323	87173325	rs17181170
17300sorted	3	151899703	151899705	rs161792
17300sorted	3	170130101	170130103	rs10936632
17300sorted	3	189356260	189356262	TP63
17300sorted	5	1288546	1288548	TERT
17300sorted	5	44365544	44365546	FGF10
17300sorted	5	44662514	44662516	rs4415084
17300sorted	5	148904091	148904093	CSNK1A1
17300sorted	6	411063	411065	IRF4
17300sorted	6	22140003	22140005	rs6939340
17300sorted	6	36622899	36622901	PI16
17300sorted	6	151948365	151948367	rs2046210
17300sorted	7	6013029	6013174	PMS2
17300sorted	7	6017218	6017389	PMS2
17300sorted	7	6018226	6018328	PMS2
17300sorted	7	55086970	55087059	EGFR
17300sorted	7	86983714	86983716	CROT
17300sorted	7	97816326	97816328	LMTK2
17300sorted	8	18272880	18272882	rs1495741
17300sorted	8	32432368	32432370	NRG1
17300sorted	8	128355617	128355619	rs13281615
17300sorted	8	128424791	128424793	rs7014346
17300sorted	8	130491751	130491753	CCDC26
17300sorted	8	145742797	145742893	RECQL4
17300sorted	8	145742985	145743020	RECQL4
17300sorted	8	145743084	145743169	RECQL4
17300sorted	9	16915020	16915022	rs3814113
17300sorted	9	21816527	21816529	MTAP
17300sorted	9	100459402	100459575	XPA
17300sorted	9	100556108	100556110	rs965513
17300sorted	10	8701218	8701220	rs10795668
17300sorted	10	43572706	43572780	RET
17300sorted	10	51549495	51549497	TIMM23B
17300sorted	10	63723576	63723578	ARID5B
17300sorted	10	63752158	63752160	ARID5B
17300sorted	10	88516384	88516688	BMPR1A
17300sorted	10	104263909	104264092	SUFU
17300sorted	10	120278943	120278945	rs12413624
17300sorted	11	2233573	2233575	rs7127900
17300sorted	11	8252852	8252854	LMO1
17300sorted	11	44117802	44117872	EXT2
17300sorted	11	56175670	56175672	rs1945213
17300sorted	11	68994496	68994498	rs7931342
17300sorted	11	68994666	68994668	rs10896449
17300sorted	11	69328763	69328765	rs614367
17300sorted	11	74345549	74345551	POLD3
17300sorted	11	83620786	83620788	DLG2
17300sorted	11	111171708	111171710	C11orf92
17300sorted	12	14653866	14653868	rs2900333
17300sorted	12	26453282	26453284	rs718314
17300sorted	12	88953560	88953562	KITLG
17300sorted	12	112521447	112521449	NAA25
17300sorted	12	125320849	125320851	SCARB1
17300sorted	13	24205194	24205196	TNFRSF19
17300sorted	13	48878048	48878186	RB1
17300sorted	13	73908845	73908847	rs9573163
17300sorted	14	36649245	36649247	rs944289
17300sorted	15	32994755	32994757	rs4779584
17300sorted	15	47873548	47873550	SEMA6D
17300sorted	15	78908031	78908033	CHRNA3
17300sorted	16	51098426	51098428	rs1528601
17300sorted	16	52586340	52586342	rs3803662
17300sorted	16	52635163	52635165	rs3112612
17300sorted	16	68771318	68771367	CDH1
17300sorted	16	89882944	89883024	FANCA
17300sorted	17	36098039	36098041	HNF1B
17300sorted	17	74473261	74473381	RHBDF2
17300sorted	19	38735612	38735614	rs8102476
17300sorted	20	6404280	6404282	rs961253
17300sorted	21	30717736	30717738	BACH1
17300sorted	21	36357860	36357862	RUNX1
17300sorted	21	42746080	42746082	TMPRSS3
17301sorted	1	150860470	150860472	rs7412746
17301sorted	1	241682890	241683023	FH
17301sorted	2	215672545	215672547	BARD1
17301sorted	3	10085512	10085549	FANCD2
17301sorted	3	10183531	10183872	VHL
17301sorted	3	17077267	17077269	PLCL2
17301sorted	3	27416012	27416014	SLC4A7
17301sorted	3	128205645	128205875	GATA2
17301sorted	3	170130101	170130103	rs10936632
17301sorted	3	189356260	189356262	TP63
17301sorted	7	6013029	6013174	PMS2
17301sorted	7	6017218	6017389	PMS2
17301sorted	7	6018226	6018328	PMS2
17301sorted	7	6022454	6022623	PMS2
17301sorted	7	86983714	86983716	CROT
17301sorted	7	97816326	97816328	LMTK2
17301sorted	8	18272880	18272882	rs1495741
17301sorted	8	145742797	145742893	RECQL4
17301sorted	8	145742985	145743020	RECQL4
17301sorted	8	145743084	145743169	RECQL4
17301sorted	9	100459402	100459575	XPA
17301sorted	10	8701218	8701220	rs10795668
17301sorted	10	43572706	43572780	RET
17301sorted	10	51549495	51549497	TIMM23B
17301sorted	10	63723576	63723578	ARID5B
17301sorted	10	88516384	88516688	BMPR1A
17301sorted	11	2233573	2233575	rs7127900
17301sorted	11	83620786	83620788	DLG2
17301sorted	12	14653866	14653868	rs2900333
17301sorted	12	112521447	112521449	NAA25
17301sorted	12	125320849	125320851	SCARB1
17301sorted	13	48878048	48878186	RB1
17301sorted	15	78908031	78908033	CHRNA3
17301sorted	16	51098426	51098428	rs1528601
17301sorted	16	68771318	68771367	CDH1
17301sorted	16	89882944	89883024	FANCA
17301sorted	17	29422327	29422388	NF1
17301sorted	17	74473261	74473381	RHBDF2
17301sorted	19	38735612	38735614	rs8102476
17301sorted	19	45867243	45867378	ERCC2
17302sorted	1	10385470	10385472	KIF1B
17302sorted	1	14804873	14804875	rs7555566
17302sorted	1	150860470	150860472	rs7412746
17302sorted	1	228997834	228997836	rs801114
17302sorted	1	241682890	241683023	FH
17302sorted	2	46537603	46537605	EPAS1
17302sorted	2	215635793	215635795	BARD1
17302sorted	3	10085512	10085549	FANCD2
17302sorted	3	27416012	27416014	SLC4A7
17302sorted	3	170130101	170130103	rs10936632
17302sorted	5	40791883	40791885	PRKAA1
17302sorted	5	44365544	44365546	FGF10
17302sorted	5	44662514	44662516	rs4415084
17302sorted	6	22125963	22125965	rs4712653
17302sorted	6	22140003	22140005	rs6939340
17302sorted	6	35425332	35425378	FANCE
17302sorted	7	6013029	6013174	PMS2
17302sorted	7	55086970	55087059	EGFR
17302sorted	7	86983714	86983716	CROT
17302sorted	7	97816326	97816328	LMTK2
17302sorted	8	18272880	18272882	rs1495741
17302sorted	8	128355617	128355619	rs13281615
17302sorted	8	130491751	130491753	CCDC26
17302sorted	8	145742797	145742893	RECQL4
17302sorted	8	145742985	145743020	RECQL4
17302sorted	8	145743084	145743169	RECQL4
17302sorted	9	5070830	5070832	JAK2
17302sorted	9	21816527	21816529	MTAP
17302sorted	9	100459402	100459575	XPA
17302sorted	10	8701218	8701220	rs10795668
17302sorted	10	43572706	43572780	RET
17302sorted	10	51549495	51549497	TIMM23B
17302sorted	10	63723576	63723578	ARID5B
17302sorted	10	63752158	63752160	ARID5B
17302sorted	10	88516384	88516688	BMPR1A
17302sorted	11	2233573	2233575	rs7127900
17302sorted	11	56175670	56175672	rs1945213
17302sorted	11	111171708	111171710	C11orf92
17302sorted	12	14653866	14653868	rs2900333
17302sorted	12	49676009	49676011	rs10875943
17302sorted	12	51155662	51155664	rs11169552
17302sorted	12	112521447	112521449	NAA25
17302sorted	12	125320849	125320851	SCARB1
17302sorted	13	48878048	48878186	RB1
17302sorted	13	73908845	73908847	rs9573163
17302sorted	14	36649245	36649247	rs944289
17302sorted	15	47873548	47873550	SEMA6D
17302sorted	15	78908031	78908033	CHRNA3
17302sorted	16	51098426	51098428	rs1528601
17302sorted	16	52586340	52586342	rs3803662
17302sorted	16	68771318	68771367	CDH1
17302sorted	16	89882944	89883024	FANCA
17302sorted	17	29422327	29422388	NF1
17302sorted	17	74473261	74473381	RHBDF2
17302sorted	19	38735612	38735614	rs8102476
17302sorted	21	42746080	42746082	TMPRSS3
17303sorted	1	10385470	10385472	KIF1B
17303sorted	1	150860470	150860472	rs7412746
17303sorted	1	161284195	161284216	SDHC
17303sorted	1	241682890	241683023	FH
17303sorted	2	46537603	46537605	EPAS1
17303sorted	2	47596644	47596721	EPCAM
17303sorted	2	215635793	215635795	BARD1
17303sorted	3	10085512	10085549	FANCD2
17303sorted	3	10091057	10091190	FANCD2
17303sorted	3	10183531	10183872	VHL
17303sorted	3	14219965	14220069	XPC
17303sorted	3	128205645	128205875	GATA2
17303sorted	3	170130101	170130103	rs10936632
17303sorted	3	189356260	189356262	TP63
17303sorted	6	35420322	35420571	FANCE
17303sorted	7	6013029	6013174	PMS2
17303sorted	7	6018226	6018328	PMS2
17303sorted	7	6022454	6022623	PMS2
17303sorted	7	55086970	55087059	EGFR
17303sorted	7	86983714	86983716	CROT
17303sorted	7	97816326	97816328	LMTK2
17303sorted	8	18272880	18272882	rs1495741
17303sorted	8	128355617	128355619	rs13281615
17303sorted	8	145742797	145742893	RECQL4
17303sorted	8	145742985	145743020	RECQL4
17303sorted	8	145743084	145743169	RECQL4
17303sorted	9	100459402	100459575	XPA
17303sorted	9	135819918	135820020	TSC1
17303sorted	10	8701218	8701220	rs10795668
17303sorted	10	43572706	43572780	RET
17303sorted	10	51549495	51549497	TIMM23B
17303sorted	10	63723576	63723578	ARID5B
17303sorted	10	88516384	88516688	BMPR1A
17303sorted	11	2233573	2233575	rs7127900
17303sorted	12	14653866	14653868	rs2900333
17303sorted	12	49676009	49676011	rs10875943
17303sorted	12	125320849	125320851	SCARB1
17303sorted	13	32889599	32889816	BRCA2
17303sorted	13	48878048	48878186	RB1
17303sorted	15	40339493	40339495	rs4924410
17303sorted	15	78908031	78908033	CHRNA3
17303sorted	16	2097454	2098078	NTHL1
17303sorted	16	68771318	68771367	CDH1
17303sorted	16	89882944	89883024	FANCA
17303sorted	17	29422327	29422388	NF1
17303sorted	17	36098039	36098041	HNF1B
17303sorted	17	74473261	74473381	RHBDF2
17304sorted	1	11046854	11046856	rs9430161
17304sorted	1	14804873	14804875	rs7555566
17304sorted	1	150860470	150860472	rs7412746
17304sorted	1	228997834	228997836	rs801114
17304sorted	1	241682890	241683023	FH
17304sorted	2	15729819	15729821	rs3755132
17304sorted	2	47596644	47596721	EPCAM
17304sorted	2	215672545	215672547	BARD1
17304sorted	2	223845941	223845943	rs7584993
17304sorted	2	231091222	231091224	SP140
17304sorted	3	10085512	10085549	FANCD2
17304sorted	3	10106412	10106560	FANCD2
17304sorted	3	27416012	27416014	SLC4A7
17304sorted	3	87173323	87173325	rs17181170
17304sorted	3	151899703	151899705	rs161792
17304sorted	3	170130101	170130103	rs10936632
17304sorted	5	44365544	44365546	FGF10
17304sorted	5	44662514	44662516	rs4415084
17304sorted	5	148904091	148904093	CSNK1A1
17304sorted	6	22140003	22140005	rs6939340
17304sorted	6	36622899	36622901	PI16
17304sorted	6	151948365	151948367	rs2046210
17304sorted	7	6013029	6013174	PMS2
17304sorted	7	6017218	6017389	PMS2
17304sorted	7	6018226	6018328	PMS2
17304sorted	7	86983714	86983716	CROT
17304sorted	7	97816326	97816328	LMTK2
17304sorted	8	18272880	18272882	rs1495741
17304sorted	8	32432368	32432370	NRG1
17304sorted	8	128320345	128320347	rs16902094
17304sorted	8	128355617	128355619	rs13281615
17304sorted	8	128424791	128424793	rs7014346
17304sorted	8	145742797	145742893	RECQL4
17304sorted	8	145742985	145743020	RECQL4
17304sorted	8	145743084	145743169	RECQL4
17304sorted	9	16915020	16915022	rs3814113
17304sorted	9	21816527	21816529	MTAP
17304sorted	9	100459402	100459575	XPA
17304sorted	10	8701218	8701220	rs10795668
17304sorted	10	43572706	43572780	RET
17304sorted	10	51549495	51549497	TIMM23B
17304sorted	10	63723576	63723578	ARID5B
17304sorted	10	63752158	63752160	ARID5B
17304sorted	10	88516384	88516688	BMPR1A
17304sorted	10	104263909	104264092	SUFU
17304sorted	11	8252852	8252854	LMO1
17304sorted	11	44117802	44117872	EXT2
17304sorted	11	56175670	56175672	rs1945213
17304sorted	11	68994496	68994498	rs7931342
17304sorted	11	68994666	68994668	rs10896449
17304sorted	11	69328763	69328765	rs614367
17304sorted	11	83620786	83620788	DLG2
17304sorted	11	111171708	111171710	C11orf92
17304sorted	12	14653866	14653868	rs2900333
17304sorted	12	26453282	26453284	rs718314
17304sorted	12	125320849	125320851	SCARB1
17304sorted	13	24205194	24205196	TNFRSF19
17304sorted	13	48878048	48878186	RB1
17304sorted	13	73908845	73908847	rs9573163
17304sorted	15	47873548	47873550	SEMA6D
17304sorted	15	78908031	78908033	CHRNA3
17304sorted	16	51098426	51098428	rs1528601
17304sorted	16	52586340	52586342	rs3803662
17304sorted	16	52635163	52635165	rs3112612
17304sorted	16	68771318	68771367	CDH1
17304sorted	16	89882944	89883024	FANCA
17304sorted	17	29422327	29422388	NF1
17304sorted	17	36098039	36098041	HNF1B
17304sorted	17	74473261	74473381	RHBDF2
17304sorted	19	38735612	38735614	rs8102476
17304sorted	21	36357860	36357862	RUNX1
17304sorted	21	42746080	42746082	TMPRSS3
17305sorted	1	150860470	150860472	rs7412746
17305sorted	1	228997834	228997836	rs801114
17305sorted	2	47596644	47596721	EPCAM
17305sorted	2	215672545	215672547	BARD1
17305sorted	2	231091222	231091224	SP140
17305sorted	3	10085512	10085549	FANCD2
17305sorted	3	10106412	10106560	FANCD2
17305sorted	3	17077267	17077269	PLCL2
17305sorted	3	37627111	37627113	ITGA9
17305sorted	3	87173323	87173325	rs17181170
17305sorted	3	170130101	170130103	rs10936632
17305sorted	4	84374479	84374481	HELQ
17305sorted	5	1279789	1279791	TERT
17305sorted	5	40791883	40791885	PRKAA1
17305sorted	5	44365544	44365546	FGF10
17305sorted	5	148904091	148904093	CSNK1A1
17305sorted	6	22140003	22140005	rs6939340
17305sorted	7	6013029	6013174	PMS2
17305sorted	7	6017218	6017389	PMS2
17305sorted	7	6018226	6018328	PMS2
17305sorted	7	6022454	6022623	PMS2
17305sorted	7	50466303	50466305	IKZF1
17305sorted	7	86983714	86983716	CROT
17305sorted	7	97816326	97816328	LMTK2
17305sorted	8	18272880	18272882	rs1495741
17305sorted	8	32432368	32432370	NRG1
17305sorted	8	128355617	128355619	rs13281615
17305sorted	8	145742985	145743020	RECQL4
17305sorted	8	145743084	145743169	RECQL4
17305sorted	9	16915020	16915022	rs3814113
17305sorted	9	21816527	21816529	MTAP
17305sorted	9	100459402	100459575	XPA
17305sorted	10	43572706	43572780	RET
17305sorted	10	51549495	51549497	TIMM23B
17305sorted	10	63723576	63723578	ARID5B
17305sorted	10	63752158	63752160	ARID5B
17305sorted	10	88516384	88516688	BMPR1A
17305sorted	10	104263909	104264092	SUFU
17305sorted	10	120278943	120278945	rs12413624
17305sorted	11	2233573	2233575	rs7127900
17305sorted	11	8252852	8252854	LMO1
17305sorted	11	44117802	44117872	EXT2
17305sorted	11	56175670	56175672	rs1945213
17305sorted	11	68994496	68994498	rs7931342
17305sorted	11	68994666	68994668	rs10896449
17305sorted	11	69328763	69328765	rs614367
17305sorted	11	83620786	83620788	DLG2
17305sorted	11	111171708	111171710	C11orf92
17305sorted	12	14653866	14653868	rs2900333
17305sorted	12	26453282	26453284	rs718314
17305sorted	12	88953560	88953562	KITLG
17305sorted	12	125320849	125320851	SCARB1
17305sorted	13	24205194	24205196	TNFRSF19
17305sorted	13	48878048	48878186	RB1
17305sorted	13	73908845	73908847	rs9573163
17305sorted	14	36649245	36649247	rs944289
17305sorted	15	32994755	32994757	rs4779584
17305sorted	15	47873548	47873550	SEMA6D
17305sorted	15	78908031	78908033	CHRNA3
17305sorted	16	52586340	52586342	rs3803662
17305sorted	16	52635163	52635165	rs3112612
17305sorted	16	68771318	68771367	CDH1
17305sorted	16	89882944	89883024	FANCA
17305sorted	17	36098039	36098041	HNF1B
17305sorted	17	74470114	74470225	RHBDF2
17305sorted	17	74473261	74473381	RHBDF2
17305sorted	19	38735612	38735614	rs8102476
17305sorted	20	6404280	6404282	rs961253
17305sorted	21	42746080	42746082	TMPRSS3
17306sorted	1	10385470	10385472	KIF1B
17306sorted	1	17722362	17722364	PADI6
17306sorted	1	150860470	150860472	rs7412746
17306sorted	1	228997834	228997836	rs801114
17306sorted	2	46537603	46537605	EPAS1
17306sorted	2	215672545	215672547	BARD1
17306sorted	2	223845941	223845943	rs7584993
17306sorted	3	10085512	10085549	FANCD2
17306sorted	3	10106039	10106114	FANCD2
17306sorted	3	10106412	10106560	FANCD2
17306sorted	3	17077267	17077269	PLCL2
17306sorted	3	27416012	27416014	SLC4A7
17306sorted	3	87173323	87173325	rs17181170
17306sorted	3	128038372	128038374	EEFSEC
17306sorted	3	151899703	151899705	rs161792
17306sorted	3	170130101	170130103	rs10936632
17306sorted	4	84374479	84374481	HELQ
17306sorted	4	95562876	95562878	PDLIM5
17306sorted	4	106061533	106061535	rs7679673
17306sorted	5	44365544	44365546	FGF10
17306sorted	5	56031883	56031885	rs889312
17306sorted	5	58407770	58407772	PDE4D
17306sorted	6	22125963	22125965	rs4712653
17306sorted	6	22140003	22140005	rs6939340
17306sorted	6	35425332	35425378	FANCE
17306sorted	6	151948365	151948367	rs2046210
17306sorted	7	6013029	6013174	PMS2
17306sorted	7	6017218	6017389	PMS2
17306sorted	7	6018226	6018328	PMS2
17306sorted	7	50466303	50466305	IKZF1
17306sorted	7	86983714	86983716	CROT
17306sorted	7	97816326	97816328	LMTK2
17306sorted	8	18272880	18272882	rs1495741
17306sorted	8	32432368	32432370	NRG1
17306sorted	8	128355617	128355619	rs13281615
17306sorted	8	145742985	145743020	RECQL4
17306sorted	8	145743084	145743169	RECQL4
17306sorted	9	16915020	16915022	rs3814113
17306sorted	9	21816527	21816529	MTAP
17306sorted	9	22033365	22033367	CDKN2B-AS1
17306sorted	9	22043925	22043927	CDKN2B-AS1
17306sorted	9	100556108	100556110	rs965513
17306sorted	9	136149228	136149230	ABO
17306sorted	10	51549495	51549497	TIMM23B
17306sorted	10	63723576	63723578	ARID5B
17306sorted	10	63752158	63752160	ARID5B
17306sorted	10	88516384	88516688	BMPR1A
17306sorted	11	2233573	2233575	rs7127900
17306sorted	11	8252852	8252854	LMO1
17306sorted	11	44117802	44117872	EXT2
17306sorted	11	56175670	56175672	rs1945213
17306sorted	11	68994496	68994498	rs7931342
17306sorted	11	68994666	68994668	rs10896449
17306sorted	11	74345549	74345551	POLD3
17306sorted	11	111171708	111171710	C11orf92
17306sorted	12	14653866	14653868	rs2900333
17306sorted	12	49676009	49676011	rs10875943
17306sorted	12	125320849	125320851	SCARB1
17306sorted	13	48878048	48878186	RB1
17306sorted	14	36649245	36649247	rs944289
17306sorted	15	70018989	70018991	rs7176508
17306sorted	15	78908031	78908033	CHRNA3
17306sorted	16	52586340	52586342	rs3803662
17306sorted	16	52635163	52635165	rs3112612
17306sorted	17	36098039	36098041	HNF1B
17306sorted	17	74473261	74473381	RHBDF2
